du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing,created_date
,4.39,"37 ngõ 117 , Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,19.0,231.05,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,5.8,"Đinh Công Thương, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,30.0,193.33,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,6.9,"Phố Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",,40.0,172.5,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,5.9,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,38.0,155.26,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,,2024-12-12 19:28:17.64746
,7.28,"13, Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,35.0,208.0,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,,2024-12-12 19:28:17.64746
,8.8,"Phố Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",,40.0,220.0,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,16.88,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,120.0,140.67,5.0,5.0,Đã có sổ,Nhà biệt thự,6.0,Nội thất cao cấp,2024-12-12 19:28:17.64746
,6.8,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,45.0,151.11,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,,2024-12-12 19:28:17.64746
,10.5,"Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",,50.0,210.0,,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,,2024-12-12 19:28:17.64746
,2.4,QL6A,,40.0,60.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,2.5,Phượng Bãi,,50.0,50.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,3.0,"Phố Giang Lẻ, Phường Biên Giang, Quận Hà Đông, Hà Nội",,30.1,99.67,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,2024-12-12 19:28:17.64746
,2.9,"Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",,15.0,193.33,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
,7.0,"Phố Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,38.0,184.21,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,,2024-12-12 19:28:17.64746
,6.8,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,33.0,206.06,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",6.0,Nội thất đầy đủ,2024-12-12 19:28:17.64746
